"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW52";"SW_SPST_SKQG_WithoutStem";1;"SW_Push";;;
2;"J1";"632722110112";1;"632722110112";;;
3;"R7";"R_0805_2012Metric";1;"1m";;;
4;"D14";"SOT-143";1;"PRTR5V0U2X";;;
5;"R1,R2";"R_0805_2012Metric";2;"5.11k";;;
6;"Null2";"Hitoto2";1;"Blank";;;
7;"Null1";"bamboo";1;"Blank";;;
8;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16Mhz";;;
9;"P1";"PinSocket_1x04_P2.54mm_Vertical";1;"CONN_01X04";;;
10;"JP1";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"Jumper_NC_Small";;;
11;"BZ1";"AST1109MLTRQ";1;"Buzzer";;;
12;"D58,D53,D54,D55,D56,D57,D60,D61,D63,D62,D64,D65,D59";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";13;"WS2812B";;;
13;"D16,D38,D36,D35,D34,D33,D32,D31,D30,D29,D28,D20,D37,D48,D49,D50,D51,D52,D45,D44,D43,D42,D41,D40,D46,D26,D39,D12,D10,D9,D8,D7,D6,D5,D4,D3,D2,D27,D11,D21,D22,D23,D24,D47,D19,D18,D17,D15,D25,D1,D13";"D_SOD123";51;"D_Small";;;
14;"C19,C18,C17,C16,C15,C14,C13,C12,C11,C20,C9,C8,C10,C4,C5,C6";"C_0805_2012Metric";16;"0.1uF";;;
15;"SW5,SW27,SW28,SW29,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW25,SW40,SW41,SW42,SW43,SW44,SW48,SW49,SW50,SW51,SW1,SW13,SW38,SW2,SW3,SW4,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW47,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21,SW22,SW23,SW24,SW39,SW26";"Kailh_socket_PG1350";49;"SW_Push";;;
16;"SW45,SW46";"Kailh_socket_PG1350_1.5";2;"SW_Push";;;
17;"C1,C2";"C_0805_2012Metric";2;"22pF";;;
18;"C3";"C_0805_2012Metric";1;"1uF";;;
19;"C7";"C_0805_2012Metric";1;"10uF";;;
20;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
21;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
22;"R3,R6";"R_0805_2012Metric";2;"10k";;;
23;"R5,R4";"R_0805_2012Metric";2;"22";;;
